NTPTime,BVP,BVP_clean,TAG,emotion_HRI,shortNTPTime
0.0,-49.8183822631836,-0.7852389374191434,,,
16.0,-54.06702423095703,-1.153855028044834,,,
31.0,-58.39146423339844,-1.5619098170499854,,,
47.0,-63.09874725341797,-2.0400695011688144,,,
63.0,-68.97471618652344,-2.614473685773553,,,
78.0,-76.94374084472656,-3.296541792368203,,,
94.0,-87.72565460205078,-4.071717840603854,,,
109.0,-99.73959350585938,-4.89331137585686,,,
125.0,-109.37877655029295,-5.686511286237258,,,
141.0,-112.34445190429688,-6.3633910268408105,,,
156.0,-105.6337890625,-6.844426454571692,,,
172.0,-89.48612213134766,-7.078685686015518,,,
188.0,-67.34029388427734,-7.055344422810846,,,
203.0,-44.636695861816406,-6.803143532561704,,,
219.0,-23.12403106689453,-6.379438134385795,,,
234.0,-6.483497619628906,-5.853942681638132,,,
250.0,4.019058227539063,-5.292996091832797,,,
266.0,9.417007446289062,-4.748599487651721,,,
281.0,11.566200256347656,-4.25374068527543,,,
297.0,12.177230834960938,-3.8228971847862776,,,
313.0,11.927978515625,-3.45526606795196,,,
328.0,11.237297058105469,-3.138642641744708,,,
344.0,11.108924865722656,-2.853301134301085,,,
360.0,13.165386199951172,-2.5764326466733145,,,
375.0,18.330825805664062,-2.287721730259206,,,
391.0,26.69454574584961,-1.9755358974346355,,,
406.0,36.4804916381836,-1.6418584933604754,,,
422.0,44.43473434448242,-1.303590274244117,,,
438.0,47.01644134521485,-0.9887414002341602,,,
453.0,41.966270446777344,-0.7280378159211445,,,
469.0,29.867435455322266,-0.544576583448088,,,
485.0,13.98172378540039,-0.4452576692381584,,,
500.0,-0.4868087768554687,-0.4171935228437813,,,
516.0,-9.010372161865234,-0.430407328850904,,,
531.0,-8.719322204589844,-0.4457979525028266,,,
547.0,0.712310791015625,-0.4256007139720723,,,
563.0,17.268932342529297,-0.3430073885619111,,,
578.0,37.215450286865234,-0.1882233898401435,,,
594.0,56.02025604248047,0.0303974069157152,,,
610.0,69.81532287597656,0.2899597619200601,,,
625.0,76.18246459960938,0.5599558428560227,,,
641.0,74.59950256347656,0.8104197126055959,,,
656.0,66.51315307617188,1.0191355498171464,,,
672.0,54.25482177734375,1.176136009762751,,,
688.0,41.40481185913086,1.2844740429039734,,,
703.0,31.69400787353516,1.357224952885291,,,
719.0,27.44140625,1.4117298990229783,,,
735.0,28.19293212890625,1.462941850453997,,,
750.0,31.273155212402344,1.518021793259282,,,
766.0,32.99184036254883,1.573878747042879,,,
781.0,30.142772674560547,1.6183294771671644,,,
797.0,21.51175308227539,1.6344026186698457,,,
813.0,6.885379791259766,1.6064279648662023,,,
828.0,-11.514617919921877,1.526112520944692,,,
844.0,-29.87011909484864,1.3967958525498918,,,
860.0,-44.21353149414063,1.2344300727228883,,,
875.0,-51.32884216308594,1.064509490393124,,,
891.0,-48.8884162902832,0.9151883723307024,,,
906.0,-36.55182647705078,0.8081308718154584,,,
922.0,-17.409515380859375,0.7499404123258739,,,
938.0,1.2142181396484375,0.7276539185234163,,,
953.0,8.472412109375,0.7110060167050654,,,
969.0,-3.202705383300781,0.6617734187831991,,,
985.0,-33.68170928955078,0.5473511497826121,,,
1000.0,-74.4858169555664,0.3712041949297345,,,
1016.0,-112.15589141845705,0.1293406149508348,,,
1031.0,-133.79563903808594,-0.1333825877793998,,,
1047.0,-132.844482421875,-0.3789725224086185,,,
1063.0,-111.47355651855467,-0.5666405995342473,,,
1078.0,-71.81787109375,-0.6456584550186265,,,
1094.0,-26.4365348815918,-0.5999839860559582,,,
1110.0,9.326242446899414,-0.438962265514654,,,
1125.0,28.77254295349121,-0.1916368395930015,,,
1141.0,36.58918762207031,0.1035039364524446,,,
1156.0,41.38344192504883,0.408647895513705,,,
1172.0,47.76356506347656,0.6931836865129988,,,
1188.0,54.42237854003906,0.935893318031136,,,
1203.0,57.58953475952149,1.1243856321310122,,,
1219.0,54.70401763916016,1.2539695142617553,,,
1235.0,45.1352767944336,1.3271952316693612,,,
1250.0,32.42817687988281,1.353809964082936,,,
1266.0,22.250247955322266,1.350038506429326,,,
1281.0,18.957693099975582,1.336343579943664,,,
1297.0,23.57655143737793,1.333721526235986,,,
1313.0,34.18204498291016,1.359405583486168,,,
1328.0,47.58562469482422,1.4231269461142146,,,
1344.0,61.38445281982422,1.524862770820163,,,
1360.0,73.94438171386719,1.6545818600715614,,,
1375.0,82.78002166748047,1.794098186894959,,,
1391.0,85.46823120117188,1.920755887204675,,,
1406.0,79.95082092285156,2.012224054293004,,,
1422.0,64.70523071289062,2.051239568965788,,,
1438.0,39.6000862121582,2.028926188983365,,,
1453.0,6.987981796264648,1.9455718797304844,,,
1469.0,-28.973041534423828,1.8085267267770797,,,
1485.0,-62.79640197753906,1.627980499439167,,,
1500.0,-90.1208038330078,1.4123388217715205,,,
1516.0,-109.53497314453124,1.1652290622771324,,,
1531.0,-121.42840576171876,0.8855491183087919,,,
1547.0,-126.91864013671876,0.5812740088650477,,,
1563.0,-127.09259033203124,0.2402949979900602,,,
1578.0,-123.0264892578125,-0.1368616770234691,,,
1594.0,-111.11784362792967,-0.5258345624648797,,,
1610.0,-93.0871810913086,-0.9057229547533372,,,
1625.0,-72.50532531738281,-1.2556239512952896,,,
1641.0,-53.63338851928711,-1.5603962158725646,,,
1656.0,-40.17242431640625,-1.814549261178673,,,
1672.0,-33.76866912841797,-2.022930397961919,,,
1688.0,-33.4894905090332,-2.198183439884984,,,
1703.0,-36.59292984008789,-2.3559990343257837,,,
1719.0,-39.50106430053711,-2.5096820553236947,,,
1735.0,-39.78252029418945,-2.6655449418130424,,,
1750.0,-36.12664413452149,-2.8202609452408964,,,
1766.0,-28.05831718444824,-2.960763613371878,,,
1781.0,-16.20846939086914,-3.06671743181928,,,
1797.0,-1.511607050895691,-3.1151162595231985,,,
1813.0,14.91889190673828,-3.086207286357757,,,
1828.0,31.98455619812012,-2.96961996117009,,,
1844.0,48.21334838867188,-2.769262936526953,,,
1860.0,61.57941436767578,-2.505356121367138,,,
1875.0,70.0975112915039,-2.212156110730678,,,
1891.0,72.05929565429688,-1.9307863310133335,,,
1906.0,67.54539489746094,-1.6981763763855158,,,
1922.0,56.344482421875,-1.5350956274043888,,,
1938.0,41.39446258544922,-1.4377325439231616,,,
1953.0,27.111469268798828,-1.3770610627670643,,,
1969.0,17.15483856201172,-1.3077383620568692,,,
1985.0,13.010940551757812,-1.1842398913712706,,,
